date,ticker,price
2002-03-07,VZ,21.531082
2002-03-08,VZ,21.105705
2002-03-11,VZ,21.277669
2002-03-12,VZ,21.476779
2002-03-13,VZ,21.662311
2002-03-14,VZ,21.653259
2002-03-15,VZ,21.585386
2002-03-18,VZ,21.54918
2002-03-19,VZ,21.580856
2002-03-20,VZ,21.770918000000002
2002-03-21,VZ,21.282193
2002-03-22,VZ,20.639607
2002-03-25,VZ,20.662236
2002-03-26,VZ,20.79799
2002-03-27,VZ,20.612456
2002-03-28,VZ,20.861345
2002-04-01,VZ,20.793466
2002-04-02,VZ,20.544577
2002-04-03,VZ,20.589833
2002-04-04,VZ,20.508377
2002-04-05,VZ,20.454075
2002-04-08,VZ,20.177945
2002-04-09,VZ,19.488763
2002-04-10,VZ,20.036458
2002-04-11,VZ,19.087123
2002-04-12,VZ,19.324458
2002-04-15,VZ,18.886304
2002-04-16,VZ,19.899532
2002-04-17,VZ,19.561788
2002-04-18,VZ,19.37466
2002-04-19,VZ,19.169278
2002-04-22,VZ,18.256454
2002-04-23,VZ,18.320353
2002-04-24,VZ,18.667222
2002-04-25,VZ,18.904558
2002-04-26,VZ,18.804148
2002-04-29,VZ,17.868505
2002-04-30,VZ,18.306659
2002-05-01,VZ,18.959327
2002-05-02,VZ,18.941069
2002-05-03,VZ,18.416195
2002-05-06,VZ,18.19712
2002-05-07,VZ,18.037378
2002-05-08,VZ,18.868043
2002-05-09,VZ,18.324916
2002-05-10,VZ,17.959786
2002-05-13,VZ,18.712863
2002-05-14,VZ,19.242303
2002-05-15,VZ,19.260558
2002-05-16,VZ,20.077535
2002-05-17,VZ,19.689582
2002-05-20,VZ,19.351837
2002-05-21,VZ,19.634813
2002-05-22,VZ,19.789992
2002-05-23,VZ,20.164252
2002-05-24,VZ,19.853893
2002-05-28,VZ,20.378764
2002-05-29,VZ,20.031895
2002-05-30,VZ,20.077535
2002-05-31,VZ,19.625687
2002-06-03,VZ,19.251427
2002-06-04,VZ,19.32902
2002-06-05,VZ,19.237734
2002-06-06,VZ,18.712863
2002-06-07,VZ,18.931942
2002-06-10,VZ,19.023222
2002-06-11,VZ,18.498351
2002-06-12,VZ,19.036915
2002-06-13,VZ,18.87261
2002-06-14,VZ,18.85435
2002-06-17,VZ,19.10994
2002-06-18,VZ,19.351837
2002-06-19,VZ,18.169735
2002-06-20,VZ,18.229067
2002-06-21,VZ,18.370555
2002-06-24,VZ,18.119528
2002-06-25,VZ,17.640295
2002-06-26,VZ,17.663118
2002-06-27,VZ,17.905015
2002-06-28,VZ,18.324916
2002-07-01,VZ,17.453167
